Country,Adoption_Rate,Canada_Flag
China,58,Rest of the World
India,57,Rest of the World
Italy,42,Rest of the World
Singapore,39,Rest of the World
United Arab Emirates,38,Rest of the World
Germany,34,Rest of the World
Global,34,Global Average
France,31,Rest of the World
Spain,31,Rest of the World
Latin America,29,Rest of the World
Canada,28,Canada
United Kingdom,26,Rest of the World
United States,25,Rest of the World
Australia,24,Rest of the World
South Korea,22,Rest of the World
